,UID,movie,tag,rating,familiar,how_often,easy,how_long_ago,consistency,obj,subj,misc,genre,label,category
25,308,Titanic (1997),romance,5,5.0,5.0,4.0,3.0,1,0,0,0,1,3.0,genre
26,320,Titanic (1997),romance,5,5.0,5.0,4.0,4.0,1,0,0,0,1,3.0,genre
27,322,Titanic (1997),romance,5,5.0,5.0,4.0,3.0,1,0,0,0,1,3.0,genre
28,325,Titanic (1997),romance,5,5.0,5.0,5.0,2.0,1,0,0,0,1,3.0,genre
29,326,Titanic (1997),romance,5,5.0,5.0,5.0,2.0,1,0,0,0,1,3.0,genre
30,334,Titanic (1997),romance,5,5.0,5.0,4.0,2.0,1,0,0,0,1,3.0,genre
31,338,Titanic (1997),romance,5,5.0,5.0,5.0,4.0,1,0,0,0,1,3.0,genre
32,339,Titanic (1997),romance,5,5.0,4.0,5.0,4.0,1,0,0,0,1,3.0,genre
33,311,Titanic (1997),romance,5,5.0,5.0,5.0,2.0,1,0,0,0,1,3.0,genre
34,371,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
35,380,Titanic (1997),romance,5,5.0,5.0,5.0,4.0,1,0,0,0,1,3.0,genre
36,369,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
37,386,Titanic (1997),romance,5,5.0,4.0,5.0,2.0,1,0,0,0,1,3.0,genre
38,382,Titanic (1997),romance,4,5.0,5.0,4.0,4.0,0,0,0,0,1,3.0,genre
39,390,Titanic (1997),romance,5,5.0,5.0,4.0,3.0,1,0,0,0,1,3.0,genre
40,387,Titanic (1997),romance,5,4.0,5.0,5.0,1.0,1,0,0,0,1,3.0,genre
41,381,Titanic (1997),romance,5,4.0,2.0,5.0,3.0,1,0,0,0,1,3.0,genre
42,393,Titanic (1997),romance,5,5.0,5.0,5.0,4.0,1,0,0,0,1,3.0,genre
43,394,Titanic (1997),romance,5,5.0,2.0,4.0,3.0,1,0,0,0,1,3.0,genre
44,400,Titanic (1997),romance,5,5.0,5.0,5.0,4.0,1,0,0,0,1,3.0,genre
45,439,Titanic (1997),romance,5,5.0,4.0,4.0,1.0,1,0,0,0,1,3.0,genre
46,447,Titanic (1997),romance,5,5.0,3.0,5.0,3.0,1,0,0,0,1,3.0,genre
47,448,Titanic (1997),romance,5,4.0,4.0,4.0,4.0,1,0,0,0,1,3.0,genre
48,450,Titanic (1997),romance,5,5.0,4.0,5.0,1.0,1,0,0,0,1,3.0,genre
49,456,Titanic (1997),romance,5,5.0,5.0,4.0,3.0,1,0,0,0,1,3.0,genre
50,461,Titanic (1997),romance,5,5.0,5.0,5.0,2.0,1,0,0,0,1,3.0,genre
51,1117,Titanic (1997),romance,4,5.0,4.0,4.0,,0,0,0,0,1,3.0,genre
52,1136,Titanic (1997),romance,5,5.0,2.0,4.0,4.0,1,0,0,0,1,3.0,genre
53,1149,Titanic (1997),romance,5,5.0,3.0,5.0,,1,0,0,0,1,3.0,genre
54,1196,Titanic (1997),romance,5,5.0,4.0,4.0,4.0,1,0,0,0,1,3.0,genre
55,1231,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
56,1240,Titanic (1997),romance,5,5.0,5.0,5.0,1.0,1,0,0,0,1,3.0,genre
57,1324,Titanic (1997),romance,5,5.0,2.0,5.0,4.0,1,0,0,0,1,3.0,genre
58,1410,Titanic (1997),romance,5,5.0,5.0,5.0,4.0,1,0,0,0,1,3.0,genre
59,1457,Titanic (1997),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
60,1491,Titanic (1997),romance,5,5.0,2.0,4.0,3.0,1,0,0,0,1,3.0,genre
61,1496,Titanic (1997),romance,5,5.0,3.0,5.0,2.0,1,0,0,0,1,3.0,genre
62,1515,Titanic (1997),romance,5,5.0,5.0,5.0,2.0,1,0,0,0,1,3.0,genre
63,1543,Titanic (1997),romance,5,5.0,5.0,5.0,2.0,1,0,0,0,1,3.0,genre
64,1603,Titanic (1997),romance,5,4.0,3.0,5.0,2.0,1,0,0,0,1,3.0,genre
65,1607,Titanic (1997),romance,5,5.0,4.0,4.0,4.0,1,0,0,0,1,3.0,genre
66,53,Pretty Woman (1990),romance,5,5.0,4.0,5.0,3.0,1,0,0,0,1,3.0,genre
67,100,Pretty Woman (1990),romance,3,4.0,5.0,4.0,3.0,0,0,0,0,1,3.0,genre
68,216,Pretty Woman (1990),romance,5,5.0,5.0,4.0,4.0,1,0,0,0,1,3.0,genre
69,217,Pretty Woman (1990),romance,4,5.0,5.0,4.0,4.0,0,0,0,0,1,3.0,genre
70,279,Pretty Woman (1990),romance,5,5.0,5.0,5.0,3.0,1,0,0,0,1,3.0,genre
71,292,Pretty Woman (1990),romance,5,5.0,4.0,5.0,1.0,1,0,0,0,1,3.0,genre
72,354,Pretty Woman (1990),romance,5,5.0,2.0,4.0,4.0,1,0,0,0,1,3.0,genre
73,1167,Pretty Woman (1990),romance,5,5.0,5.0,4.0,1.0,1,0,0,0,1,3.0,genre
74,1413,Pretty Woman (1990),romance,4,5.0,5.0,4.0,1.0,0,0,0,0,1,3.0,genre
75,1519,Pretty Woman (1990),romance,3,4.0,4.0,3.0,3.0,0,0,0,0,1,3.0,genre
76,1598,Pretty Woman (1990),romance,5,1.0,2.0,5.0,4.0,1,0,0,0,1,3.0,genre
77,92,Dances with Wolves (1990),romance,4,4.0,5.0,4.0,2.0,1,0,0,0,1,3.0,genre
78,102,Dances with Wolves (1990),romance,4,5.0,5.0,4.0,4.0,1,0,0,0,1,3.0,genre
79,947,Dances with Wolves (1990),romance,3,5.0,3.0,4.0,1.0,0,0,0,0,1,3.0,genre
80,1027,Dances with Wolves (1990),romance,5,5.0,5.0,,3.0,0,0,0,0,1,3.0,genre
81,1028,Dances with Wolves (1990),romance,1,5.0,2.0,5.0,4.0,0,0,0,0,1,3.0,genre
82,283,Forrest Gump (1994),romance,5,5.0,3.0,4.0,4.0,1,0,0,0,1,3.0,genre
83,961,Forrest Gump (1994),romance,2,5.0,5.0,2.0,1.0,0,0,0,0,1,3.0,genre
84,984,Forrest Gump (1994),romance,4,5.0,5.0,4.0,1.0,0,0,0,0,1,3.0,genre
85,1103,Forrest Gump (1994),romance,4,5.0,5.0,5.0,3.0,0,0,0,0,1,3.0,genre
86,1117,Forrest Gump (1994),romance,5,5.0,4.0,,2.0,1,0,0,0,1,3.0,genre
87,495,"Shawshank Redemption, The (1994)",romance,1,5.0,3.0,4.0,1.0,1,0,0,0,1,3.0,genre
88,1001,"Shawshank Redemption, The (1994)",romance,1,5.0,1.0,4.0,2.0,1,0,0,0,1,3.0,genre
89,1103,"Shawshank Redemption, The (1994)",romance,4,5.0,5.0,,1.0,0,0,0,0,1,3.0,genre
90,1174,"Shawshank Redemption, The (1994)",romance,1,2.0,4.0,1.0,1.0,1,0,0,0,1,3.0,genre
91,1491,"Shawshank Redemption, The (1994)",romance,1,5.0,2.0,,2.0,1,0,0,0,1,3.0,genre
92,1027,"Silence of the Lambs, The (1991)",romance,5,5.0,5.0,5.0,3.0,0,0,0,0,1,3.0,genre
93,1128,"Silence of the Lambs, The (1991)",romance,3,5.0,5.0,5.0,1.0,0,0,0,0,1,3.0,genre
94,1221,"Silence of the Lambs, The (1991)",romance,1,5.0,2.0,1.0,1.0,1,0,0,0,1,3.0,genre
95,1459,"Silence of the Lambs, The (1991)",romance,1,5.0,4.0,5.0,3.0,1,0,0,0,1,3.0,genre
96,3,Monty Python and the Holy Grail (1975),religion,4,5.0,5.0,4.0,2.0,1,1,0,0,0,0.0,objective
97,63,Monty Python and the Holy Grail (1975),religion,4,3.0,4.0,3.0,2.0,1,1,0,0,0,0.0,objective
98,247,Monty Python and the Holy Grail (1975),religion,1,5.0,2.0,5.0,3.0,0,1,0,0,0,0.0,objective
99,265,Monty Python and the Holy Grail (1975),religion,2,4.0,3.0,4.0,1.0,0,1,0,0,0,0.0,objective
100,319,Monty Python and the Holy Grail (1975),religion,2,5.0,2.0,4.0,1.0,0,1,0,0,0,0.0,objective
101,1158,Monty Python and the Holy Grail (1975),religion,4,5.0,1.0,4.0,4.0,1,1,0,0,0,0.0,objective
102,1202,Monty Python and the Holy Grail (1975),religion,4,5.0,5.0,4.0,3.0,1,1,0,0,0,0.0,objective
103,1294,Monty Python and the Holy Grail (1975),religion,5,5.0,4.0,4.0,2.0,0,1,0,0,0,0.0,objective
104,7,Dead Man Walking (1995),religion,3,3.0,4.0,3.0,2.0,1,1,0,0,0,0.0,objective
105,252,Dead Man Walking (1995),religion,5,5.0,4.0,5.0,1.0,0,1,0,0,0,0.0,objective
106,254,Dead Man Walking (1995),religion,3,5.0,4.0,3.0,2.0,1,1,0,0,0,0.0,objective
107,357,Dead Man Walking (1995),religion,3,5.0,3.0,4.0,3.0,1,1,0,0,0,0.0,objective
108,450,Dead Man Walking (1995),religion,4,4.0,5.0,3.0,1.0,0,1,0,0,0,0.0,objective
109,1687,Dead Man Walking (1995),religion,5,5.0,5.0,5.0,3.0,0,1,0,0,0,0.0,objective
110,105,Contact (1997),religion,4,5.0,2.0,4.0,4.0,1,1,0,0,0,0.0,objective
111,161,Contact (1997),religion,1,,1.0,5.0,2.0,0,1,0,0,0,0.0,objective
112,210,Contact (1997),religion,4,5.0,3.0,4.0,1.0,1,1,0,0,0,0.0,objective
113,283,Contact (1997),religion,4,5.0,3.0,3.0,4.0,1,1,0,0,0,0.0,objective
114,292,Contact (1997),religion,4,5.0,3.0,4.0,2.0,1,1,0,0,0,0.0,objective
115,339,Contact (1997),religion,2,5.0,5.0,4.0,3.0,0,1,0,0,0,0.0,objective
116,359,Contact (1997),religion,1,1.0,1.0,1.0,2.0,0,1,0,0,0,0.0,objective
117,1221,Contact (1997),religion,4,5.0,1.0,4.0,2.0,1,1,0,0,0,0.0,objective
118,1252,Contact (1997),religion,1,5.0,3.0,1.0,2.0,0,1,0,0,0,0.0,objective
119,1427,Contact (1997),religion,4,5.0,3.0,5.0,3.0,1,1,0,0,0,0.0,objective
120,1449,Contact (1997),religion,2,5.0,4.0,4.0,2.0,0,1,0,0,0,0.0,objective
121,1600,Contact (1997),religion,1,5.0,4.0,3.0,4.0,0,1,0,0,0,0.0,objective
122,1627,Contact (1997),religion,3,4.0,2.0,3.0,3.0,0,1,0,0,0,0.0,objective
123,114,Dogma (1999),religion,5,5.0,4.0,5.0,4.0,1,1,0,0,0,0.0,objective
124,215,Dogma (1999),religion,5,5.0,2.0,5.0,2.0,1,1,0,0,0,0.0,objective
125,342,Dogma (1999),religion,5,5.0,2.0,5.0,4.0,1,1,0,0,0,0.0,objective
126,375,Dogma (1999),religion,5,5.0,2.0,4.0,4.0,1,1,0,0,0,0.0,objective
127,843,Dogma (1999),religion,5,5.0,2.0,5.0,2.0,1,1,0,0,0,0.0,objective
128,1332,Dogma (1999),religion,5,5.0,5.0,4.0,2.0,1,1,0,0,0,0.0,objective
129,1449,Dogma (1999),religion,5,5.0,4.0,,3.0,1,1,0,0,0,0.0,objective
130,1498,Dogma (1999),religion,5,5.0,3.0,4.0,3.0,1,1,0,0,0,0.0,objective
131,1524,Dogma (1999),religion,4,5.0,5.0,3.0,4.0,0,1,0,0,0,0.0,objective
132,1681,Dogma (1999),religion,5,5.0,1.0,5.0,2.0,1,1,0,0,0,0.0,objective
133,1039,"Silence of the Lambs, The (1991)",religion,1,5.0,4.0,3.0,4.0,0,1,0,0,0,0.0,objective
134,1253,"Silence of the Lambs, The (1991)",religion,2,5.0,2.0,3.0,2.0,1,1,0,0,0,0.0,objective
135,1291,Forrest Gump (1994),religion,1,5.0,1.0,5.0,2.0,1,1,0,0,0,0.0,objective
136,1373,Forrest Gump (1994),religion,4,5.0,5.0,4.0,4.0,0,1,0,0,0,0.0,objective
137,1393,Forrest Gump (1994),religion,2,5.0,2.0,2.0,4.0,0,1,0,0,0,0.0,objective
138,1410,Forrest Gump (1994),religion,1,5.0,5.0,1.0,4.0,1,1,0,0,0,0.0,objective
139,1416,Forrest Gump (1994),religion,5,2.0,2.0,4.0,1.0,0,1,0,0,0,0.0,objective
140,3,Fight Club (1999),disturbing,4,5.0,5.0,3.0,1.0,1,0,0,1,0,2.0,subjective
141,382,Fight Club (1999),disturbing,5,4.0,4.0,4.0,3.0,0,0,0,1,0,2.0,subjective
142,753,Fight Club (1999),disturbing,3,3.0,4.0,3.0,2.0,0,0,0,1,0,2.0,subjective
143,851,Fight Club (1999),disturbing,4,5.0,4.0,4.0,1.0,1,0,0,1,0,2.0,subjective
144,1001,Fight Club (1999),disturbing,4,5.0,5.0,5.0,2.0,1,0,0,1,0,2.0,subjective
145,1545,Fight Club (1999),disturbing,5,5.0,3.0,5.0,4.0,0,0,0,1,0,2.0,subjective
146,59,Schindler's List (1993),disturbing,5,5.0,2.0,4.0,2.0,1,0,0,1,0,2.0,subjective
147,372,Schindler's List (1993),disturbing,2,5.0,5.0,3.0,4.0,0,0,0,1,0,2.0,subjective
148,388,Schindler's List (1993),disturbing,3,5.0,3.0,2.0,4.0,0,0,0,1,0,2.0,subjective
149,407,Schindler's List (1993),disturbing,5,5.0,2.0,5.0,4.0,1,0,0,1,0,2.0,subjective
150,603,Schindler's List (1993),disturbing,5,5.0,4.0,4.0,2.0,1,0,0,1,0,2.0,subjective
151,1541,Schindler's List (1993),disturbing,5,2.0,2.0,5.0,4.0,1,0,0,1,0,2.0,subjective
152,1611,Schindler's List (1993),disturbing,5,5.0,5.0,5.0,2.0,1,0,0,1,0,2.0,subjective
153,72,Pulp Fiction (1994),disturbing,2,4.0,4.0,3.0,3.0,1,0,0,1,0,2.0,subjective
154,309,Pulp Fiction (1994),disturbing,2,5.0,5.0,2.0,1.0,1,0,0,1,0,2.0,subjective
155,944,Pulp Fiction (1994),disturbing,3,3.0,2.0,2.0,3.0,0,0,0,1,0,2.0,subjective
156,981,Pulp Fiction (1994),disturbing,4,5.0,4.0,4.0,2.0,0,0,0,1,0,2.0,subjective
157,1021,Pulp Fiction (1994),disturbing,5,2.0,2.0,4.0,2.0,0,0,0,1,0,2.0,subjective
158,218,Seven (a.k.a. Se7en) (1995),disturbing,5,5.0,5.0,5.0,2.0,1,0,0,1,0,2.0,subjective
159,301,Seven (a.k.a. Se7en) (1995),disturbing,5,4.0,4.0,4.0,3.0,1,0,0,1,0,2.0,subjective
160,851,Seven (a.k.a. Se7en) (1995),disturbing,5,5.0,4.0,,1.0,1,0,0,1,0,2.0,subjective
161,972,Seven (a.k.a. Se7en) (1995),disturbing,5,5.0,2.0,5.0,3.0,1,0,0,1,0,2.0,subjective
162,976,Seven (a.k.a. Se7en) (1995),disturbing,4,4.0,4.0,3.0,3.0,0,0,0,1,0,2.0,subjective
163,985,Seven (a.k.a. Se7en) (1995),disturbing,5,4.0,4.0,5.0,4.0,1,0,0,1,0,2.0,subjective
164,987,Seven (a.k.a. Se7en) (1995),disturbing,5,5.0,5.0,5.0,2.0,1,0,0,1,0,2.0,subjective
165,993,Seven (a.k.a. Se7en) (1995),disturbing,4,4.0,2.0,4.0,2.0,0,0,0,1,0,2.0,subjective
166,999,Seven (a.k.a. Se7en) (1995),disturbing,5,5.0,2.0,5.0,2.0,1,0,0,1,0,2.0,subjective
167,994,Seven (a.k.a. Se7en) (1995),disturbing,3,5.0,3.0,4.0,3.0,0,0,0,1,0,2.0,subjective
168,1199,Seven (a.k.a. Se7en) (1995),disturbing,4,4.0,4.0,4.0,1.0,0,0,0,1,0,2.0,subjective
169,1666,Seven (a.k.a. Se7en) (1995),disturbing,4,5.0,3.0,3.0,2.0,0,0,0,1,0,2.0,subjective
170,1677,Seven (a.k.a. Se7en) (1995),disturbing,5,5.0,4.0,5.0,2.0,1,0,0,1,0,2.0,subjective
171,851,"Shawshank Redemption, The (1994)",disturbing,1,5.0,4.0,,1.0,0,0,0,1,0,2.0,subjective
172,1254,"Shawshank Redemption, The (1994)",disturbing,4,5.0,5.0,4.0,2.0,1,0,0,1,0,2.0,subjective
173,1498,"Shawshank Redemption, The (1994)",disturbing,4,5.0,3.0,4.0,1.0,1,0,0,1,0,2.0,subjective
174,1103,Jurassic Park (1993),disturbing,3,4.0,4.0,4.0,3.0,0,0,0,1,0,2.0,subjective
175,1140,Jurassic Park (1993),disturbing,2,4.0,2.0,2.0,2.0,1,0,0,1,0,2.0,subjective
176,1172,Jurassic Park (1993),disturbing,2,2.0,2.0,2.0,2.0,1,0,0,1,0,2.0,subjective
177,1185,Jurassic Park (1993),disturbing,5,5.0,5.0,2.0,4.0,0,0,0,1,0,2.0,subjective
178,1381,Jurassic Park (1993),disturbing,5,5.0,5.0,4.0,4.0,0,0,0,1,0,2.0,subjective
179,1390,Jurassic Park (1993),disturbing,2,1.0,1.0,4.0,1.0,1,0,0,1,0,2.0,subjective
180,1394,Jurassic Park (1993),disturbing,3,5.0,4.0,4.0,3.0,0,0,0,1,0,2.0,subjective
181,1406,Jurassic Park (1993),disturbing,2,5.0,5.0,1.0,1.0,1,0,0,1,0,2.0,subjective
182,1398,Jurassic Park (1993),disturbing,4,4.0,5.0,3.0,4.0,0,0,0,1,0,2.0,subjective
183,1407,Jurassic Park (1993),disturbing,4,5.0,4.0,4.0,1.0,0,0,0,1,0,2.0,subjective
184,3,Toy Story (1995),witty,5,3.0,3.0,4.0,3.0,1,0,0,1,0,2.0,subjective
185,211,Toy Story (1995),witty,3,4.0,4.0,4.0,4.0,0,0,0,1,0,2.0,subjective
186,227,Toy Story (1995),witty,4,5.0,5.0,4.0,3.0,0,0,0,1,0,2.0,subjective
187,268,Toy Story (1995),witty,4,4.0,4.0,4.0,2.0,0,0,0,1,0,2.0,subjective
188,299,Toy Story (1995),witty,5,4.0,5.0,4.0,3.0,1,0,0,1,0,2.0,subjective
189,328,Toy Story (1995),witty,5,5.0,5.0,4.0,4.0,1,0,0,1,0,2.0,subjective
190,387,Toy Story (1995),witty,5,5.0,5.0,3.0,2.0,1,0,0,1,0,2.0,subjective
191,1346,Toy Story (1995),witty,5,5.0,5.0,4.0,2.0,1,0,0,1,0,2.0,subjective
192,1481,Toy Story (1995),witty,4,5.0,2.0,,2.0,0,0,0,1,0,2.0,subjective
193,76,"Princess Bride, The (1987)",witty,4,4.0,4.0,4.0,4.0,1,0,0,1,0,2.0,subjective
194,214,"Princess Bride, The (1987)",witty,5,5.0,4.0,5.0,4.0,0,0,0,1,0,2.0,subjective
195,340,"Princess Bride, The (1987)",witty,4,3.0,3.0,4.0,2.0,1,0,0,1,0,2.0,subjective
196,358,"Princess Bride, The (1987)",witty,4,4.0,4.0,4.0,4.0,1,0,0,1,0,2.0,subjective
197,831,"Princess Bride, The (1987)",witty,5,5.0,5.0,5.0,2.0,0,0,0,1,0,2.0,subjective
198,1221,"Princess Bride, The (1987)",witty,2,5.0,4.0,2.0,4.0,0,0,0,1,0,2.0,subjective
199,1232,"Princess Bride, The (1987)",witty,3,5.0,5.0,4.0,2.0,0,0,0,1,0,2.0,subjective
200,1346,"Princess Bride, The (1987)",witty,4,5.0,5.0,,3.0,1,0,0,1,0,2.0,subjective
201,1481,"Princess Bride, The (1987)",witty,5,5.0,2.0,5.0,2.0,0,0,0,1,0,2.0,subjective
202,1516,"Princess Bride, The (1987)",witty,5,4.0,4.0,5.0,2.0,0,0,0,1,0,2.0,subjective
203,1528,"Princess Bride, The (1987)",witty,3,5.0,3.0,4.0,4.0,0,0,0,1,0,2.0,subjective
204,1640,"Princess Bride, The (1987)",witty,4,1.0,1.0,4.0,4.0,1,0,0,1,0,2.0,subjective
205,376,Star Wars: Episode VI - Return of the Jedi (1983),witty,5,5.0,5.0,5.0,2.0,0,0,0,1,0,2.0,subjective
206,934,Star Wars: Episode VI - Return of the Jedi (1983),witty,4,5.0,3.0,4.0,3.0,0,0,0,1,0,2.0,subjective
207,976,Star Wars: Episode VI - Return of the Jedi (1983),witty,2,4.0,4.0,3.0,3.0,1,0,0,1,0,2.0,subjective
208,1018,Star Wars: Episode VI - Return of the Jedi (1983),witty,2,3.0,4.0,,2.0,1,0,0,1,0,2.0,subjective
209,1084,Star Wars: Episode VI - Return of the Jedi (1983),witty,2,2.0,2.0,3.0,3.0,1,0,0,1,0,2.0,subjective
210,1381,Star Wars: Episode VI - Return of the Jedi (1983),witty,5,4.0,5.0,4.0,3.0,0,0,0,1,0,2.0,subjective
211,1383,Star Wars: Episode VI - Return of the Jedi (1983),witty,4,5.0,4.0,4.0,2.0,0,0,0,1,0,2.0,subjective
212,1394,Star Wars: Episode VI - Return of the Jedi (1983),witty,2,5.0,4.0,4.0,4.0,1,0,0,1,0,2.0,subjective
213,1396,Star Wars: Episode VI - Return of the Jedi (1983),witty,2,4.0,4.0,4.0,4.0,1,0,0,1,0,2.0,subjective
214,1405,Star Wars: Episode VI - Return of the Jedi (1983),witty,3,5.0,5.0,4.0,4.0,0,0,0,1,0,2.0,subjective
215,1406,Star Wars: Episode VI - Return of the Jedi (1983),witty,2,5.0,5.0,3.0,1.0,1,0,0,1,0,2.0,subjective
216,997,Apollo 13 (1995),witty,2,3.0,3.0,3.0,3.0,1,0,0,1,0,2.0,subjective
217,998,Apollo 13 (1995),witty,2,5.0,5.0,4.0,3.0,1,0,0,1,0,2.0,subjective
218,1001,Apollo 13 (1995),witty,2,5.0,5.0,4.0,4.0,1,0,0,1,0,2.0,subjective
219,1004,Apollo 13 (1995),witty,2,4.0,4.0,2.0,4.0,1,0,0,1,0,2.0,subjective
220,1018,Apollo 13 (1995),witty,4,3.0,4.0,2.0,3.0,0,0,0,1,0,2.0,subjective
221,1027,Apollo 13 (1995),witty,5,5.0,5.0,4.0,3.0,0,0,0,1,0,2.0,subjective
222,1599,Apollo 13 (1995),witty,5,5.0,5.0,4.0,4.0,0,0,0,1,0,2.0,subjective
223,1145,"Silence of the Lambs, The (1991)",witty,4,5.0,5.0,5.0,2.0,1,0,0,1,0,2.0,subjective
224,1591,"Silence of the Lambs, The (1991)",witty,4,5.0,5.0,4.0,4.0,1,0,0,1,0,2.0,subjective
225,1248,"Shawshank Redemption, The (1994)",witty,3,5.0,4.0,4.0,2.0,1,0,0,1,0,2.0,subjective
226,1347,"Shawshank Redemption, The (1994)",witty,3,4.0,4.0,2.0,2.0,1,0,0,1,0,2.0,subjective
227,1682,"Shawshank Redemption, The (1994)",witty,3,5.0,5.0,3.0,3.0,1,0,0,1,0,2.0,subjective
228,3,Blade Runner (1982),space,3,5.0,5.0,3.0,2.0,0,1,0,0,0,0.0,objective
229,31,Blade Runner (1982),space,1,2.0,5.0,5.0,3.0,0,1,0,0,0,0.0,objective
230,282,Blade Runner (1982),space,5,5.0,5.0,5.0,1.0,0,1,0,0,0,0.0,objective
231,300,Blade Runner (1982),space,4,4.0,4.0,4.0,2.0,1,1,0,0,0,0.0,objective
232,321,Blade Runner (1982),space,4,5.0,4.0,4.0,4.0,1,1,0,0,0,0.0,objective
233,326,Blade Runner (1982),space,5,5.0,5.0,5.0,2.0,0,1,0,0,0,0.0,objective
234,401,Blade Runner (1982),space,3,4.0,4.0,3.0,2.0,0,1,0,0,0,0.0,objective
235,456,Blade Runner (1982),space,2,5.0,5.0,5.0,1.0,0,1,0,0,0,0.0,objective
236,1476,Blade Runner (1982),space,4,5.0,3.0,3.0,4.0,1,1,0,0,0,0.0,objective
237,1528,Blade Runner (1982),space,1,5.0,4.0,5.0,4.0,0,1,0,0,0,0.0,objective
238,1562,Blade Runner (1982),space,5,5.0,5.0,4.0,4.0,0,1,0,0,0,0.0,objective
239,1611,Blade Runner (1982),space,1,5.0,3.0,5.0,3.0,0,1,0,0,0,0.0,objective
240,1614,Blade Runner (1982),space,4,1.0,1.0,3.0,1.0,1,1,0,0,0,0.0,objective
241,1641,Blade Runner (1982),space,3,5.0,5.0,3.0,4.0,0,1,0,0,0,0.0,objective
242,222,Toy Story (1995),space,3,1.0,1.0,4.0,2.0,0,1,0,0,0,0.0,objective
243,288,Toy Story (1995),space,5,4.0,5.0,4.0,4.0,0,1,0,0,0,0.0,objective
244,388,Toy Story (1995),space,2,5.0,3.0,4.0,4.0,1,1,0,0,0,0.0,objective
245,636,Toy Story (1995),space,2,4.0,5.0,2.0,3.0,1,1,0,0,0,0.0,objective
246,798,Toy Story (1995),space,4,1.0,2.0,4.0,1.0,0,1,0,0,0,0.0,objective
247,1347,Toy Story (1995),space,1,4.0,2.0,5.0,4.0,0,1,0,0,0,0.0,objective
248,292,Apollo 13 (1995),space,5,5.0,4.0,5.0,1.0,1,1,0,0,0,0.0,objective
249,994,Apollo 13 (1995),space,5,5.0,4.0,5.0,3.0,1,1,0,0,0,0.0,objective
250,1039,Apollo 13 (1995),space,5,4.0,4.0,4.0,3.0,1,1,0,0,0,0.0,objective
251,1045,Apollo 13 (1995),space,5,5.0,5.0,5.0,2.0,1,1,0,0,0,0.0,objective
252,1116,Apollo 13 (1995),space,5,5.0,4.0,5.0,4.0,1,1,0,0,0,0.0,objective
253,321,Star Wars: Episode VI - Return of the Jedi (1983),space,5,5.0,4.0,,4.0,1,1,0,0,0,0.0,objective
254,777,Star Wars: Episode VI - Return of the Jedi (1983),space,5,5.0,5.0,5.0,1.0,1,1,0,0,0,0.0,objective
