UID,tag,familiar,how_often,first,second,third
50,art house,4,5,painting, sculpture, architecture
50,holocaust,5,4,Allies,Anschluss,Appell
50,steampunk,4,5,Point of Diversion,Technology ,Inventions
50,culture clash,4,5," cultivation,",accomplishment,couth
50,violence,4,5,assault,clash, brutality
50,satire,4,5,Horatian,Juvenalian,Menippean
50,dystopia,5,4,Survival, Technological control, Environmental destruction
50,fantasy,5,5,knights,kings,references 
53,superhero,5,4,save the day,defeat enemies,fantasy
53,animation,5,5,funny,beautiful landscape,good dub
53,existentialism,3,4,question,plot twist,good ending
53,musical,3,2,fun,good characters,interesting story telling
53,romance,5,4,love,good endings,family movie
53,comedy,5,4,silly moments,funny,more or less characters
53,film noir,2,1,black,questions,doubts
53,martial arts,4,2,good special effect,resilience,good morals
61,war,5,3,death,horror,guns
61,hilarious,5,3,funny,good mood,amusing
61,futuristic,4,2,curiosity,antecipation,hope
61,holocaust,3,1,war,segregation,horror
61,surreal,3,2,unpredicatable,other future,interesting
61,predictable,5,2,boring,unsurpring,obvious
61,boring,5,2,already seen,predictable,not funny
61,hallucinatory,1,1,nerve wrecking,bad trip,amusing
61,funny,5,4,comic,amusing,entertaining
61,quirky,1,1,eccentric,weird,never seen
59,surreal,4,3,Bizzarre,Irrational,Strange
59,serial killer,5,4,Murder,Killing,Psycho
59,suspense,5,4,Anxiety,Anticipation,holding breath
59,unique,5,2,one of its kind,unlike anything else,remarkable
59,satire,5,3,Irony,Sarcasm,Parody
59,historical,5,2,Documented,Real,Set in the past
59,twist ending,5,3,Surprise,Plot twist,Controversial
59,disturbing,5,2,Upsetting,Horrifying,Explicit
59,drugs,5,2,Addicting,Heroin,High
59,philosophical,5,2,Abstract,Rational,Thinking
64,fantasy,4,5,Imagine,Horror,Adventure
64,war,3,4,Battle,fighting,Strike
64,robots,2,4,Device,Computer,Machine
64,animation,4,5,Cartoon ,Comic,Dreamwork
64,pirates,4,5,Parrot ,Map,Hook hand
64,comedy,5,5,Comdies,Fun,Laugh
64,romance,5,4,Love bird,Blind,Puppy Love
63,cyberpunk,3,4,culture ,science,technology
63,psychological,3,4,mental,emotional,irrational
63,india,3,3,flat ,mountainous,",bengal"
63,funny,3,3,no,no,no
63,religion,3,4,holy,devout,orthodox
63,world war ii,3,4,industrial,military,crucial 
63,satire,3,4,no,no,ni
63,documentary,3,4,no,no,no
63,art house,3,4,no,no,no
66,serial killer,4,3,serial killer very rick ,serial killer hate pepole,serial killer need waepon
66,hallucinatory,5,4,good name hallucinatory,brand naame hallucinatory,think new hallucinatory
66,steampunk,5,5,i brand name,a name of  steampunk, need for us  steampunk
66,adventure,5,4,adventure i like it ,adventure my mom like it ,adventure need for new think 
66,atmospheric,4,4,atmospheric need for us ,atmospheric need for world ,atmospheric good for body 
66,animation,4,3,i like animation,what comes animation,real life need animation
66,inspirational,4,4,she is my inspirational,he is my inspirational,need a inspirational
66,suspense,4,5,why you  suspense,really hart  suspense,need a new  suspense
66,superhero,3,5,need for worldsuperhero, i want a superhero,i meet to superhero
66,funny,3,5,funny  good for helth ,funny need  a pepole,funny one kind of jocker 
75,satire,5,4,horatian,juvenalian,menippean
75,animation,5,4,image,transparent ,traditional
75,time travel,5,4,journey,tour,trip
75,musical,4,5,alto,andante,bar
75,overrated,5,4,top gear,reality tv,foie gras
75,documentary,5,4,consequence,emphasis ,sentence
75,film noir,5,5,cynical,lighting,flashbacks
75,visually appealing,5,5,noun ,gerund,verb
75,hallucinatory,5,5,psychosis ,hearing loss,brain lesions
75,unique,5,4,singly,matchless,singular
92,adventure,4,5, idiomatic expressions,adventuresome,run a risk
92,violence,4,5,assault,brutality,confusion
92,predictable,4,5,monotony,invariability,recurrence
92,environmental,4,5,biodiversity,carbon monoxide.,climate
92,musical,4,5,Andante,Arpeggio,Cadence
92,stylized,4,5,verbal phrases,participial phrases, gerund phrases
92,drama,4,5,Aristotle's Six Elements of Drama:,Plot – The Story of the play.,Idea – The central meaning of the play. ...
92,fantasy,5,4,A magic system. This is the element that sets fantasy fiction apart from other genres,A cast of complex characters. ...,A central conflict. ...
92,horror,4,5,apprehension,awe,consternation
92,romance,4,5,A couple (noun) A couple is two of something. ,A blind date,Puppy love 
100,animation,5,4,tones ,of films,none
100,film noir,5,5,film ,noir,none
100,romance,4,5,love,caring,hug
100,comedy,5,4,fun,laugh,happy
100,holocaust,1,2,none,none,none
100,comic book,3,4,articles,books,guide
100,mafia,5,4,gun,fight,smugling
100,western,4,5,none,none,none
102,sci-fi,5,5,science,aliens,spirits
102,stylized,2,3,modern,niche,categorized
102,animation,5,5,children,family,cartoons
102,holocaust,5,5,germany,jewish,nazis
102,historical,5,5,history,old,early
102,funny,5,5,comical,hillarious,jokes
102,india,5,5,cast,Asia,foreign
102,time travel,5,5,magic,altering time,machine
102,pirates,5,5,back then,ships,water
102,romance,5,5,love,romantic,passion
105,serial killer,5,2,murder,sociopathy,loner
105,christmas,5,2,festive,parties,gifts
105,mafia,5,3,criminals,vice,organized
105,environmental,5,2,climate change,global warming,melting glaciers
105,film noir,5,4,chiaroscuro,cinematography,femme fatale
105,hallucinatory,5,4,surrealism,psychic states,consciousness
105,steampunk,2,1,mechanism,industrial,anachronism
105,religion,5,2,sacred,doubt,faith
105,prison,5,2,confinement,punitive,rehabilitation
106,superhero,4,5,good,heroic,strength
106,plot twist,2,3,unpredictable,aweful,boring
106,stupid,2,3,mad,fool,inhuman
106,western,2,4,culture,new,good
106,adventure,3,2,nice,positive,interesting
106,futuristic,4,3,prediction,future,positive
106,pirates,3,2,robbers,bad,sea
106,martial arts,3,4,talent,artistic,spritual
108,plot twist,5,4,surprise,thought-provoking,interesting
108,action,5,4,fast-paced,quick,exciting
108,superhero,5,5,super-human,unnatural,scifi
108,funny,5,3,amusing,laughter,not serious
108,thought-provoking,5,3,interesting,makes me reflect,stimulatory
108,robots,5,4,autonomous,apathetic,rule followers
108,war,5,4,death,cruelty,abuse
108,predictable,5,5,boring,easy to guess,unsurprising
76,witty,4,4,comic,funny,humors 
76,atmospheric,5,5,air problem,environment ,nature changes
76,futuristic,4,4,groundbreaking,revolutionary,visionary
76,tense,5,5,unable to relax,situation of depression ,anxiety 
76,romance,5,5,feeling love,arouse position,mood of sex
76,christmas,5,5,Religious function,traditional event,religious get together 
76,prison,5,5,criminal person,punishment,place of detention 
76,drama,5,5,stage show,fun,commedy
76,environmental,5,5,our surrounding areas ,nature ,a group in charge of making a city more beautiful
103,musical,3,2,alto,andante,bar
103,action,4,4,stunt ,fighters,properties
103,superhero,4,3,justice,mythology,radiation
103,fantasy,4,5,dream,wonder,surprise
103,india,3,4,culture,food ,temples
103,pirates,3,4,robbery,bones,boats
103,environmental,5,4,green,fresh air,water
103,steampunk,4,3,angels,death,tragedy
103,animation,4,5,frame,persistence of vision,thumpnails
109,twist ending,5,5,suspense,thril,good graphics
109,christmas,5,4,dynamic story,technology,amazing graphics
109,stylized,5,5,good entertainment,amazing story,happy ending
109,drama,5,4,good script,fun and enjoyable,nice actions
109,environmental,5,5,good information,save nature,happy ending
109,war,5,3,great action,amazing technology,good graphics
109,atmospheric,5,5,scientific,awarness,good message
109,predictable,4,5,good thingking,good story,information to people
109,mafia,4,3,crime story,awarness,action block
109,martial arts,5,5,amazing arts,learn knowledge,scientific adventure
72,horror,5,4,devil,fear,temp
72,thriller,4,5,anxiety, apprehension,chiller
72,disturbing,4,4,disarrange ,muddle ,rearrange
72,animation,5,4,cartoon,GFX,Fake
72,documentary,4,5,information,subject,details
72,art house,4,3,art,creation,base
72,fantasy,5,4,dream,impossible,heors
72,mystery,4,3,Think,IQ,puzzle
72,tense,4,3,taut,tight,stiff
72,time travel,5,4,future,time,machine
111,horror,-1,5,THIRLLER ,BGM,GHOST
111,quirky,5,-1,SIMILAR,UNCONVENTIONAL ,UNUSUSAL
111,steampunk,5,-1,SCIENCE ,FRICTION ,TECHNOLOGY
111,serial killer,5,3,SUSPENSE ,BGM,THRILLER 
111,holocaust,5,-1,SHOAH,GENOSIDE,EUROPE JUICE 
111,india,4,5,PEACE,PROPERSITY ,SOVERGINITY 
111,witty,4,5,HUMOROUS,AMUSING,DROLL
111,martial arts,5,4,TRADITIONAL ,FITNESS ,TECHNIQEUS
111,drugs,-1,5,RECOVERY ,DOPOMINE ,SEDUCTIVE
111,insanity,5,5,MADNESS ,IDIOTIC,STUPID
110,mystery,5,4,conundrum,enigma,problem
110,artistic,5,4,creative,aesthetically-pleasing, pictorial
110,comedy,4,5,farce, humor, slapstick
110,horror,5,4,apprehension,consternation,disgust
110,animation,5,4,briskness, exuberance,jazziness
110,india,5,4,British Council,Indian Origin,CSMVS
110,documentary,5,5,absorbing,acclaimed,adult
110,martial arts,5,4,Bunkai,Bushido,Dan
110,self discovery,5,5,self-actualization, self-esteem,self-exploration
114,war,5,3,conflict,death,heroism
114,suspense,4,4,thriller,surprise,twists
114,serial killer,4,3,murder,death,sadism
114,religion,5,4,angels,god,devil
114,western,4,3,cowboys,guns,horses
114,world war ii,4,3,nazis,allies,death
114,nonlinear,4,3,twists,unpredictable,erratic
114,steampunk,3,2,science fiction,steam-powered machines,victorian times
114,tense,4,4,anxiety,restlessness,thrilling
157,horror,5,4,thriller,classic,suspicious
157,film noir,5,4,classical,sexually,dramas
157,steampunk,4,5,fiction ,science,thriller
157,drama,5,4,art,classic,crime
157,romance,-1,5,love ,sex,affectionation
157,satire,5,-1,visual,literary,performing arts
157,mafia,4,5,crime,thriller`,death
157,funny,4,3,god,smile,happiness
157,art house,4,5,happiness,art,god
161,predictable,4,3,expected,foreseeable,unsurprising
161,culture clash,3,2,heritage,habits,society
161,stupid,3,2,foolish,ignorant,dense
161,documentary,1,3,recorded,registered,written
161,philosophical,5,3,cool,calm logical,logical
161,holocaust,4,5,devastation,destruction,disaster
161,plot twist,3,1,odd,unexpected,surprising
161,religion,-1,1,faith,belief,worship
161,suspense,4,3,avid,eagerly,agog
161,mafia,1,-1,gangster,criminal,gang
209,horror,3,3,dread,fear,fright
209,violence,4,4,blood,fight,bodies
209,unique,5,5,single,only,original
209,western,3,3,bang,shooting,confusion
209,india,1,1,mytsterious, dreamy,philosophic
209,self discovery,4,4,knowing yourself,identity,identity
209,satire,5,5,humor, comedy,sarcasm
209,stupid,5,5,idiot ,jackass ,panaca
209,social commentary,3,3,sick society,child exploitation,drugs
209,robots,5,5,future,strength,skill
212,film noir,3,3,Noir,Noise,Good
211,stupid,5,4,Idiotic,Makes no sense ,Ridiculous
211,environmental,5,3,Carbon footprint ,Natural disasters,Greenhouse gas 
211,mockumentary,4,2,Satire,Makes fun of ,Silly
211,witty,4,4,Smart ,Funny ,Banter 
211,martial arts,2,1,Karate ,Taekwondo,Jujitsu
211,surreal,3,3,Too good to be true ,Dreamlike ,Unreal
211,existentialism,3,2,Life flash before eyes,Philosophical ,Questioning 
211,hallucinatory,5,3,Figment of imagination,Not real ,Scary
211,pirates,4,2,Robbers,No good ,No morales
211,plot twist,4,4,U-turn,Unexpected ,What just happened?
215,psychological,5,3,cerebral,thinking,twist
215,western,5,4,old,action,cowboys
215,satire,4,5,sarcastic,topical,timless
215,time travel,5,3,sci-fi,old,interesting
215,futuristic,5,5,sci-fi,technology,dystopia
215,religion,5,2,god,prayer,heaven
215,cyberpunk,5,4,dystopia,sci-fi,realistic
214,musical,5,2,Broadway,theater,dancing
214,film noir,2,2,Suspenseful,dark,atmospheric
214,horror,5,3,Scary,bloody,eerie
214,india,4,2,Eastern,curry,cows
214,christmas,5,2,Snow,Jesus,Gifts
214,documentary,5,2,Preachy,stilted,biased
214,mafia,2,1,Crime,prison,murder
214,serial killer,4,3,Twisted ,mental,creepy
214,hilarious,5,3,Funny,goofy,smart
214,witty,5,4,Clever,dry,sophisticated
210,sci-fi,5,5,future,alien,dystopic
210,holocaust,5,5,nazi,Auschwitz,hitler
210,thriller,5,5,Heartrate,fast,scary
210,religion,5,3,God ,Jesus,Church
210,psychological,5,4,crazy,insane,hospital
210,hilarious,5,5,funny,comedy,laugh
210,stylized,5,4,graphic,poppy,fun
210,environmental,5,5,nature,ocean,global warming
210,horror,5,4,scary,terror,fear
217,christmas,5,2,gifts,santa,Jesus
217,animation,5,5,beautiful,crisp,clean
217,surreal,5,5,bizarre,dream,unbelievable
217,philosophical,5,5,reality,existence,knowledge
217,comedy,5,5,funny,humor,entertaining
217,social commentary,5,5,rhetorical,justice, change
217,romance,5,5,love,heartbreak,intimacy
217,holocaust,5,5,death,destruction,despair
217,martial arts,5,5,fight,karate,action
216,historical,5,4,authentic,true,archival
216,romance,5,5,excitement,glamour,mystery
216,pirates,4,3,freebooter,raider,buccaneer
216,mafia,4,4,gang,mafioso,family
216,steampunk,-1,-1,thug,hoodlum,vandal
216,india,5,5,hindi,new dehli,bharat
216,adventure,5,4,exploit,deed,trial
216,violence,5,4,brutality,force,roughness
216,martial arts,5,5,karate,aikido,judo
213,superhero,5,4,great strength,flying ,impossilbe feats
213,stupid,5,1,awful ,distastful,icky
213,predictable,5,5,to easy ,know what will happen,boring
213,comedy,3,3,funny,slapstick,make you laught
213,funny,5,5,laughable,giggle ,funny
213,musical,5,5,sound of music ,fiddler on roof,great tunes
213,historical,5,5,the past ,teaching history,documentary
213,martial arts,1,1,fighting,hurting ,defense
213,prison,2,2,action,dark,horror
218,predictable,5,5,Calculated ,Expected ,Likely
218,futuristic,5,5,strangeness,eccentric,extravagant
218,original,5,5,model,realistic,origin
218,disturbing,5,5,impressive,impactful,disconcerting
218,holocaust,5,2,death,sacrifice ,massacre
218,superhero,5,5,courage,win,fight
218,stylized,3,3,decorated,style,different
218,romance,5,5,Love,Happy ending,happy forever
218,overrated,5,5,overvalued,overestimated.,expensive
218,christmas,5,5,Reunited family ,Dream Achievements,A lot of gifts 
222,art house,2,3,color,beautiful,nature
222,thriller,4,4,fear,panic,scare
222,social commentary,1,1,social criticism,reality,reflection
222,suspense,4,4,panic,scare,fear
222,fantasy,5,4,colorful clothes,skills,adventures
222,comedy,5,5,jokes,pranks,romance
222,romance,5,5,girlfriend,teenagers,love at first sight
222,hilarious,4,3,laughs,jokes,pranks
222,space,1,1,stars,planets,planets
222,western,1,2,culture,food,technology
219,futuristic,4,3,Modern technology,Science fiction ,Quantum physics
219,plot twist,3,3,Unexpected,Mental confusion,Amazed
219,steampunk,2,3,Old future,Retro technology,Fantasy
219,martial arts,5,4,Kung Fu,Mortal kombat,Bruce Lee
219,stupid,4,3,Joke,funny,laugh
219,time travel,4,3,Science fiction ,Impossible physics,Futuristic
219,environmental,5,4,Nature,Life,Earth
219,pirates,3,2,Thieves,Cheaters,Navigators
219,romance,4,2,Love,Tenderness,Happiness
219,horror,5,4,Macabre,Fear,Dark
231,animation,4,5,IMAGNIATION,ADVENTURE,THIRLLIING
231,stupid,5,4,FOOL,NON-SENSE,UNRELATED
231,witty,5,4,FUNNY,COMIC,HUMOROUS
231,predictable,5,4,EXPECTED,FORSEEBLE,ANTICIPATED
231,suspense,3,4,NOT JUDGEABLE ,HARD TO FIND,AVID
231,romance,3,5,LOVE,AFFECTION,DEVOTION
231,art house,5,3,PALACE,WONDERS,EXHIBIT
231,mafia,3,5,ROBERY,GANGSTER,KILLER
231,adventure,4,5,THRILL,EXCITMENT,STIMULATION
231,western,5,4,MORDEN,LATEST,STYLE
228,mafia,4,4,great movie,great action,good team cooperation
228,animation,4,5,then animation movies are interesting,i like the animation movie alita battile angel,and the avatar movie great animations sence are making
228,environmental,4,5,current environmental is some what not good,the earth heat is increased,the earth heat leads to sec level increase
228,justice,4,3,the justice must have center thought ,most of the justice is not good in this time,the justice must have same entair world.
228,art house,4,3,the art house leads to real hous,the art house develop people art capacity,the art house make the beautiful world
228,romance,5,5,the romance like love,the love like romance,if the pair is great understand in romance they make every think
228,pirates,4,3,the pirates are dangerous,the pirates like money,the pirates are not good in sea side.
228,plot twist,3,2,plot twist is must have for each human,if they in plot twist the feeling nice,the plot twist make great world
228,insanity,4,3,some peoples insanity in some think,the insanity is make some fulfilmnet,the insanity is affect they self
228,steampunk,4,3,the steampunk show clasical view,the steampunk constructed some confuction structure,the steampunk is like golden color
232,philosophical,5,1,Soal,Longing,Religion
232,sci-fi,5,1,Science,Technology,Outer Space
232,satire,1,1,Unbelievable,Outlandish,Funny
232,insanity,5,1,Crazed,Lunacy,Unpredictable
232,suspense,5,3,Unpredictable,Scary,Thrilling
232,unique,5,2,Peculiar,Odd,Strange
232,musical,5,4,Singing,Songs,Orchestra
232,animation,5,5,Cartoons,Fiction,Kids
227,superhero,5,5,gorgeous,powerful ,ubiquitous
227,adventure,5,5,experience,escapade,precipitate
227,romance,4,5,affection,lovingness,passion
227,christmas,3,4,stockings,lights,gingerbread 
227,tense,5,4,tight,rigid,stretched
227,historical,5,5,past,bygone,ancient
227,pirates,5,5,Nautical,Crime,Commerce
227,witty,5,5,humorous,amusing,comic
227,animation,5,5,liveliness,spirit,energy
227,comic book,2,3,adventures ,superhero,sequential 
235,end of the world,5,4,apocalypse,great war ,aliens
235,cyberpunk,4,4,technology,new world,different
235,war,5,4,gun,death,brave
235,film noir,3,1,horror,blood,something
235,drugs,4,1,drugs,weakness,crimes
235,horror,5,4,unusual,horror,mystic
235,martial arts,5,4,karate,arts,duels
235,christmas,5,2,santa claus,christmas tree,gifts
235,philosophical,5,5,long replics,thoughts,relations
235,romance,5,2,love,love,love
236,mystery,4,4,kotha,kuma,punda
236,funny,4,4,mavana,devidya,punda
236,historical,2,3,past,traditional,culture
236,stylized,4,4,new,trend,fever
236,romance,4,5,love,releation,couple
236,film noir,4,4,flim,flim,noir
236,thriller,4,4,afraid,fear,sad
236,pirates,4,5,robbers,ship,treasure
236,mafia,2,3,ganster,gun,smuggling
236,comedy,4,4,laugh,joker,smile
246,horror,5,3,creepy,thriller,scary
246,sci-fi,4,2,futuristic,science,aliens
246,animation,5,2,disney,children movie,sentimental
246,western,5,1,old times,desert,cowboy
246,time travel,5,2,future,past,changes
246,drugs,5,2,dangerous,unhealthy,scary
246,surreal,5,2,different,interesting,captivating
246,thriller,5,4,heart pounding,exciting,mystery
246,musical,5,3,singing,cheesy,dancing
245,art house,4,4,flim,cinima,artistic
245,time travel,4,5,journey, peregrinate,pilgrimage
245,mafia,5,5,mob,black hand,crime
245,martial arts,5,5,kata ,selfdefence,fitness
245,predictable,5,5,sure,certain,excepted
245,pirates,4,5,Aye,Avaysat ye,All hand boy
245,action,5,5,bullets,big bang,fight 
245,steampunk,5,5,science fiction,scott westerfield,cyber punk
245,environmental,5,5,climate ,nature ,mediun
247,comedy,5,4,funny,laugh,feel-good
247,musical,5,2,songs,singing,dancing
247,fantasy,4,2,out of this world,creatures,different worlds
247,animation,5,4,characters,good story,3D
247,religion,5,2,inspiration,family-friendly,wholesome
247,war,5,2,fighting,weapons,soldiers
247,india,4,2,country,people,different way of life
247,time travel,3,2,different timelines,different places,mysterious
247,historical,4,3,old times,back in the day,fashion
247,original,3,2,new,different,unexpected
248,satire,5,3,comedy,edgy,parody
248,atmospheric,5,5,immersion,thematic,horror
248,original,3,3,difficult,innovation,creative
248,thriller,5,4,mystery,action,interesting
248,western,4,2,boring,saturated,uncreative
248,christmas,3,3,funny,wholesome,party
248,time travel,5,5,hard to pull off,predictable,convoluted
248,predictable,4,4,boring,unonoriginal,overrated
248,surreal,2,2,bizarre,unreal,strange
253,end of the world,4,1,doom,gloom,sad
253,tense,4,2,drama,nail-biting,anxious
253,artistic,5,3,flair,creative,different
253,surreal,4,3,strange,juxtaposition,sublime
253,original,4,4,different,creative,unique
253,social commentary,4,4,satire,opinion,viewpoint
253,world war ii,4,2,war,battle,sad
253,funny,5,2,entertaining,light-hearted,amusing
253,culture clash,4,3,different,strange,unique
254,steampunk,3,3,Dead,Love,This Dark and Twisty Road
254,romance,5,4,love,couple,companionship
254,culture clash,4,4,City,Civilization,People
254,time travel,5,4,Technology,Intelligence,Futurism
254,insanity,4,4,Disease,People,Disturb
254,religion,5,4,Faith,Culture,God
254,adventure,5,5,Action,Nature,Adrenaline
254,fantasy,5,5,Emotion,Imaginary,Fiction
254,musical,4,2,Song,Singers,Presentation
254,martial arts,4,3,Fights,Combat,Action
249,pirates,4,4,All hands hoay=Everyone get on the deck.,Black spot,To cheat
249,romance,5,5,affection,lovingness,fancy
249,plot twist,5,5,They were never really dead,Death out of the blue,None of it was Rea
249,animation,5,5,enthusiasm,ardor,sprightliness
249,martial arts,5,5,combat , physical skill, coordination without weapons
249,stylized,5,5,design ,stylistic pattern, according to nature or tradition
249,mystery,5,5,riddle,subtlety,mystification
249,steampunk,5,5,incorporates technology,aesthetic design,fictional machines 
249,funny,5,5,entertaining,humorous,laughable
249,war,5,5,battle,combat,fighting
252,western,4,3,Ace-high,High class,Adam's Ale
252,nonlinear,5,4,irregular,chaotic,disorderly
252,historical,5,4,chronicled,confirmed,recorded
252,religion,5,4,holy,spiritual,orthodox
252,predictable,5,4,predictably ,unpredictable,expect
252,philosophical,4,3,ethics,epistemology,theology
252,stylized,4,3,Stylized Bees, stylized look,stylized flowers
252,self discovery,5,4,self-contemplation,self-examination,self-observation
252,pirates,4,4,Aaaarrrrgggghhhh!\t,"Ahoy, Me Hearties!\t",All Hand Hoy!\t
252,mystery,4,3,problem,enigma,conundrum
255,animation,3,3,2 Dimensional,Motion graphics,3 Dimensional
255,pirates,2,3,peg leg,hook hand,treasure map
255,great soundtrack,3,2,rap,rock,melodies
255,prison,2,3,jail,police,handcuff
255,funny,3,4,joy,laugh,comedy
255,drama,3,4,scene,screen,play
255,superhero,3,4,hero,superman,extraordinary person
255,robots,2,3,machine,codings,serving
255,time travel,3,2,hours,distance,covers
256,cyberpunk,5,5,cyber,cyberism,hack
256,thought-provoking,4,4,useless,prank,waste
256,war,4,5,fight,leaderism,king
256,historical,5,4,ancient,treasure,things
256,pirates,5,5,thief,bad guy,roamers
256,animation,4,5,superpower,imagination,cartoons
256,superhero,5,4,unrealistic,power,fight
256,romance,5,5,love,kiss,sex
256,drama,5,4,roamers,fight,dance
262,romance,5,4,Love,feeling,attraction
262,stylized,4,3,depiction,non-realistic,decorative
262,martial arts,5,5,Kung-Fu,Karate,Judo
262,musical,5,2,Melody,Relaxation,Pleasant
262,culture clash,4,3,Conflict,Belief,Difference
262,humorous,5,4,Laugh,Happiness,Entertainment
262,predictable,5,4,Expect,Foresee,Analysing
262,stupid,5,3,Foolishness,Brainless,Crazy
262,time travel,5,5,Moving to future or past,Disappearance,Loop
262,pirates,5,4,Criminals,Thieves,Sea
265,prison,5,4,jail,crime,inmate
265,art house,3,2,art,built,creative
265,mockumentary,5,4,fake,satire,humor
265,psychological,5,5,brain,mental,strength
265,satire,5,5,comical,fake,exaggerated
265,holocaust,5,3,genocide,killing,death
265,fantasy,5,4,adventure,creative,built
265,drama,5,4,action,film,emotions
265,western,3,2,country,cowboy,horse
265,religion,4,3,jesus,God,cross
266,pirates,5,2,skulls,gold,men
266,boring,5,5,park,couch,reading
266,world war ii,2,5,germany,guns,nazi
266,environmental,2,5,earth,clean,sun
266,tense,2,-1,uneasy,tighr,paranoid
266,funny,5,5,laugh,comedy,jokea
266,self discovery,5,-1,self,meditation ,yoga
266,superhero,5,5,strong,cool,piwers
266,thriller,5,5,scary,interesting ,fast
266,horror,5,5,scart,ghost,supernatural
264,western,5,1,guns,dirt,outlaws
264,india,5,1,spicy,crowded,poverty
264,martial arts,3,1,sport,self-defence,attack
264,funny,5,3,laugh,comedy,hilarious
264,satire,3,1,bitter,not politically correct,mean
264,drugs,5,3,junkie,druggie,addict
264,holocaust,5,1,human tragedy,racism,drama
264,self discovery,4,4,acceptance,diversity,tolerance
264,mafia,5,3,Italy,mobsters,criminals
263,unique,5,3, original,extravagant,author
263,holocaust,5,3,genocide,Nazi,Jew
263,film noir,5,3,crime,police,detective
263,serial killer,5,2,death,police,psychopath
263,cyberpunk,4,2,future,dystopia,robot
263,christmas,5,3,holidays,gifts,family
263,suspense,5,4,murder,Alfred Hitchcock,plot
263,martial arts,5,2,fight,Bruce Lee,Oriental
263,self discovery,3,2,initiative,odyssey,self-made man
263,satire,5,3,humor,Charles Chaplin,fun
275,animation,5,5,children,cartoon,interesting
275,original,5,5,old,super,classic
275,art house,1,1,painting house,artwork,gallery
275,pirates,5,5,somalia,pirate,sea
275,romance,5,5,love,true ❤ ,beauty
275,film noir,1,1,black,movie,france
275,drugs,5,5,sickness,cocaine,heroine
275,musical,5,5,songs,concert,musical
275,superhero,5,5,spiderman,wolverine,captain america
279,documentary,4,2,Realistic incident,Controversial,History
279,pirates,2,2,Theft,Sea,Intelligence
279,psychological,4,3,past,angry,uncertain
279,romance,5,5,love,unconditonal,smile
279,comedy,4,4,Smile,nonsense,timing
279,stupid,3,3,nonsense,decision,concentration
279,superhero,5,5,unnatural,Fantasy,God
279,martial arts,3,3,Protection,Courage,discipline
279,predictable,3,3,old,bored,project
278,romance,5,4,love ,boy friend,girl friend
278,superhero,5,5,powerful ,super human,fight
278,stylized,3,3,fashion,desighn ,arts
278,self discovery,3,3,identity,motivated,ambition
278,serial killer,4,3,knife,mask,gun
