UID,movie,tag,rating,easy
44,Reservoir Dogs (1992),mafia,3,Disagree
44,Chasing Amy (1997),comic book,3,Agree
44,Beetlejuice (1988),horror,3,Agree
44,Aladdin (1992),animation,4,Agree
44,"Fugitive, The (1993)",prison,4,Neither agree nor disagree
44,Pi (1998),art house,4,Agree
44,Maverick (1994),western,4,Agree
44,Star Wars: Episode IV - A New Hope (1977),serial killer,4,Agree
46,Beetlejuice (1988),horror,3,Agree
46,"Little Princess, A (1995)",india,3,Agree
46,Natural Born Killers (1994),serial killer,4,Agree
46,Forrest Gump (1994),india,4,
46,Dark City (1998),steampunk,4,Agree
46,Waterworld (1995),environmental,3,Agree
46,National Treasure (2004),pirates,4,Agree
46,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),steampunk,3,
46,Kill Bill: Vol. 2 (2004),martial arts,4,Agree
46,"Matrix, The (1999)",stylized,4,Agree
50,"Godfather, The (1972)",stylized,5,Agree
50,Charlie's Angels (2000),martial arts,4,Agree
50,Blue Velvet (1986),art house,4,Strongly agree
50,Saving Private Ryan (1998),holocaust,5,Strongly agree
50,Waterworld (1995),steampunk,5,Agree
50,Batman Forever (1995),culture clash,5,Neither agree nor disagree
50,Toy Story (1995),violence,5,Neither agree nor disagree
50,"Clockwork Orange, A (1971)",satire,5,Agree
50,Fight Club (1999),dystopia,5,Agree
50,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,5,Strongly agree
53,Titanic (1997),romance,5,
53,"Matrix Reloaded, The (2003)",superhero,3,Agree
53,Aladdin (1992),animation,5,
53,"Lion King, The (1994)",animation,5,Strongly agree
53,Jurassic Park (1993),existentialism,2,Disagree
53,"Wizard of Oz, The (1939)",musical,4,Agree
53,Pretty Woman (1990),romance,5,Strongly agree
53,Back to the Future (1985),comedy,4,Agree
53,Batman (1989),film noir,4,Neither agree nor disagree
53,Charlie's Angels (2000),martial arts,4,Agree
59,Fargo (1996),surreal,2,Agree
59,"Usual Suspects, The (1995)",serial killer,5,Strongly agree
59,Forrest Gump (1994),suspense,2,Agree
59,Mulholland Drive (2001),unique,4,Agree
59,"Clockwork Orange, A (1971)",satire,3,Neither agree nor disagree
59,"Lord of the Rings: The Two Towers, The (2002)",historical,1,Agree
59,Pulp Fiction (1994),twist ending,5,Strongly agree
59,Schindler's List (1993),disturbing,5,Agree
59,Taxi Driver (1976),drugs,2,Agree
59,"Matrix, The (1999)",philosophical,2,Agree
61,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,3,Disagree
61,"Silence of the Lambs, The (1991)",hilarious,1,Strongly agree
61,Terminator 2: Judgment Day (1991),futuristic,5,Strongly agree
61,Saving Private Ryan (1998),holocaust,1,Agree
61,Willy Wonka & the Chocolate Factory (1971),surreal,5,Strongly agree
61,Mission: Impossible II (2000),predictable,3,Disagree
61,"Blair Witch Project, The (1999)",boring,1,Agree
61,Taxi Driver (1976),hallucinatory,1,Neither agree nor disagree
61,Men in Black (a.k.a. MIB) (1997),funny,5,Strongly agree
61,Jurassic Park (1993),quirky,2,Neither agree nor disagree
63,"Fifth Element, The (1997)",cyberpunk,3,Neither agree nor disagree
63,Slumdog Millionaire (2008),india,3,
63,Seven (a.k.a. Se7en) (1995),psychological,3,Neither agree nor disagree
63,"Little Princess, A (1995)",india,3,Neither agree nor disagree
63,Men in Black (a.k.a. MIB) (1997),funny,4,Neither agree nor disagree
63,Monty Python and the Holy Grail (1975),religion,4,Neither agree nor disagree
63,It's a Wonderful Life (1946),world war ii,3,Neither agree nor disagree
63,Austin Powers: The Spy Who Shagged Me (1999),satire,3,Neither agree nor disagree
63,This Is Spinal Tap (1984),documentary,3,Neither agree nor disagree
63,Blue Velvet (1986),art house,4,Neither agree nor disagree
64,Star Wars: Episode VI - Return of the Jedi (1983),fantasy,5,Agree
64,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,5,Strongly agree
64,Terminator 2: Judgment Day (1991),robots,5,Agree
64,National Treasure (2004),pirates,5,
64,"Lion King, The (1994)",animation,5,
64,Back to the Future (1985),comedy,5,
64,Babe (1995),animation,5,Agree
64,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,3,Agree
64,Toy Story (1995),comedy,3,Neither agree nor disagree
64,Titanic (1997),romance,5,Strongly agree
66,Star Wars: Episode IV - A New Hope (1977),serial killer,4,Agree
66,Brazil (1985),hallucinatory,5,Neither agree nor disagree
66,Dark City (1998),steampunk,5,Agree
66,Batman (1989),adventure,5,Agree
66,Toy Story (1995),atmospheric,5,Agree
66,"Lion King, The (1994)",animation,5,Neither agree nor disagree
66,Terminator 2: Judgment Day (1991),inspirational,5,Neither agree nor disagree
66,Jurassic Park (1993),suspense,3,Disagree
66,"Matrix Reloaded, The (2003)",superhero,4,Agree
66,Men in Black (a.k.a. MIB) (1997),funny,5,Neither agree nor disagree
72,Aliens (1986),horror,3,Agree
72,Star Wars: Episode IV - A New Hope (1977),thriller,5,Strongly agree
72,Pulp Fiction (1994),disturbing,2,Neither agree nor disagree
72,"Lion King, The (1994)",animation,4,Strongly agree
72,This Is Spinal Tap (1984),documentary,4,Neither agree nor disagree
72,Blue Velvet (1986),art house,5,Agree
72,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,5,Strongly agree
72,Memento (2000),mystery,3,Neither agree nor disagree
72,Jurassic Park (1993),tense,5,Agree
72,Back to the Future (1985),time travel,5,Agree
75,"Clockwork Orange, A (1971)",satire,5,Agree
75,Aladdin (1992),animation,5,Strongly agree
75,Stargate (1994),time travel,5,Neither agree nor disagree
75,Beauty and the Beast (1991),musical,-1,Agree
75,Epic Movie (2007),overrated,5,Strongly agree
75,Fahrenheit 9/11 (2004),documentary,5,Agree
75,Chinatown (1974),film noir,5,Strongly agree
75,Dances with Wolves (1990),visually appealing,5,Neither agree nor disagree
75,Brazil (1985),hallucinatory,4,Agree
75,Edward Scissorhands (1990),unique,4,Strongly agree
76,"Princess Bride, The (1987)",witty,4,Agree
76,"Matrix, The (1999)",atmospheric,5,Agree
76,Terminator 2: Judgment Day (1991),futuristic,4,Agree
76,Jurassic Park (1993),tense,5,Strongly agree
76,Dead Man Walking (1995),prison,3,
76,Titanic (1997),romance,4,Agree
76,Die Hard (1988),christmas,2,Strongly agree
76,"Rock, The (1996)",prison,3,Agree
76,Aladdin (1992),drama,4,Agree
76,"Day After Tomorrow, The (2004)",environmental,5,Strongly agree
92,Batman (1989),adventure,5,Agree
92,Toy Story (1995),violence,5,Agree
92,Mission: Impossible II (2000),predictable,5,Neither agree nor disagree
92,"American President, The (1995)",environmental,5,Agree
92,"Wizard of Oz, The (1939)",musical,5,Strongly agree
92,"Godfather, The (1972)",stylized,5,Agree
92,Aladdin (1992),drama,4,Agree
92,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,4,Agree
92,Alien (1979),horror,5,Agree
92,Dances with Wolves (1990),romance,4,Agree
102,Eternal Sunshine of the Spotless Mind (2004),sci-fi,4,Agree
102,"Godfather, The (1972)",stylized,2,Neither agree nor disagree
102,"Lion King, The (1994)",animation,5,Strongly agree
102,American History X (1998),holocaust,3,Neither agree nor disagree
102,"Lord of the Rings: The Two Towers, The (2002)",historical,1,Agree
102,Men in Black (a.k.a. MIB) (1997),funny,4,Agree
102,Slumdog Millionaire (2008),india,4,Strongly agree
102,Austin Powers: International Man of Mystery (1997),time travel,5,Strongly agree
102,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Strongly agree
102,Dances with Wolves (1990),romance,4,Agree
100,Titanic (1997),romance,5,
100,"Lion King, The (1994)",animation,5,Neither agree nor disagree
100,Batman (1989),film noir,4,Neither agree nor disagree
100,Pretty Woman (1990),romance,3,Agree
100,Toy Story (1995),comedy,5,Neither agree nor disagree
100,Life Is Beautiful (La Vita è bella) (1997),holocaust,4,Neither agree nor disagree
100,Men in Black (a.k.a. MIB) (1997),comic book,4,
100,Batman Forever (1995),comic book,5,Neither agree nor disagree
100,"Godfather: Part II, The (1974)",mafia,5,Agree
100,Maverick (1994),western,5,Neither agree nor disagree
105,Natural Born Killers (1994),serial killer,5,Strongly agree
105,Die Hard (1988),christmas,4,Agree
105,Reservoir Dogs (1992),mafia,2,Disagree
105,"Day After Tomorrow, The (2004)",environmental,5,Strongly agree
105,Chinatown (1974),film noir,5,Strongly agree
105,Being John Malkovich (1999),hallucinatory,5,Strongly agree
105,Waterworld (1995),steampunk,2,Disagree
105,Contact (1997),religion,4,Agree
105,"Fugitive, The (1993)",prison,4,
105,One Flew Over the Cuckoo's Nest (1975),prison,4,Agree
103,Beauty and the Beast (1991),musical,3,Disagree
103,American Beauty (1999),action,1,Disagree
103,"Matrix Reloaded, The (2003)",superhero,4,Agree
103,Jurassic Park (1993),fantasy,4,Neither agree nor disagree
103,Slumdog Millionaire (2008),india,5,Strongly agree
103,National Treasure (2004),pirates,2,Disagree
103,"Day After Tomorrow, The (2004)",environmental,3,Neither agree nor disagree
103,Dark City (1998),steampunk,2,
103,Waterworld (1995),steampunk,3,Neither agree nor disagree
103,"Lion King, The (1994)",animation,5,Strongly agree
106,Kill Bill: Vol. 2 (2004),martial arts,3,
106,"Matrix Reloaded, The (2003)",superhero,2,Agree
106,Star Wars: Episode IV - A New Hope (1977),plot twist,1,Neither agree nor disagree
106,Twister (1996),stupid,2,Strongly disagree
106,Back to the Future Part III (1990),western,4,Disagree
106,National Treasure (2004),pirates,2,
106,Batman (1989),adventure,3,Disagree
106,Terminator 2: Judgment Day (1991),futuristic,2,Disagree
106,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,3,Strongly disagree
106,Charlie's Angels (2000),martial arts,4,Disagree
108,Star Wars: Episode V - The Empire Strikes Back (1980),plot twist,5,Agree
108,Star Wars: Episode IV - A New Hope (1977),action,5,Strongly agree
108,"Matrix Reloaded, The (2003)",superhero,1,Agree
108,Mrs. Doubtfire (1993),funny,4,Agree
108,Star Wars: Episode VI - Return of the Jedi (1983),thought-provoking,2,Agree
108,Terminator 2: Judgment Day (1991),robots,5,Strongly agree
108,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),war,2,Neither agree nor disagree
108,Mission: Impossible II (2000),predictable,3,Agree
109,Jurassic Park (1993),twist ending,5,Strongly agree
109,Die Hard (1988),christmas,5,Strongly agree
109,"Matrix, The (1999)",stylized,5,Strongly agree
109,Aladdin (1992),drama,5,Strongly agree
109,"Day After Tomorrow, The (2004)",environmental,5,Agree
109,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,5,Strongly agree
109,Independence Day (a.k.a. ID4) (1996),atmospheric,5,Strongly agree
109,Mission: Impossible II (2000),predictable,5,Strongly agree
109,"Godfather: Part II, The (1974)",mafia,5,Strongly agree
109,Charlie's Angels (2000),martial arts,5,Strongly agree
110,Memento (2000),mystery,5,Agree
110,Apocalypse Now (1979),horror,5,
110,Mr. Holland's Opus (1995),artistic,4,Agree
110,Toy Story (1995),comedy,5,Strongly agree
110,Alien (1979),horror,5,Strongly agree
110,"Lion King, The (1994)",animation,5,Agree
110,Monsoon Wedding (2001),india,5,Agree
110,Best in Show (2000),documentary,5,Strongly agree
110,Kill Bill: Vol. 2 (2004),martial arts,5,Agree
110,Jurassic Park (1993),self discovery,5,Strongly agree
111,Apocalypse Now (1979),horror,4,Agree
111,Clerks (1994),quirky,-1,Agree
111,Dark City (1998),steampunk,-1,Agree
111,Natural Born Killers (1994),serial killer,-1,Neither agree nor disagree
111,Life Is Beautiful (La Vita è bella) (1997),holocaust,-1,Agree
111,Slumdog Millionaire (2008),india,3,Agree
111,Star Wars: Episode VI - Return of the Jedi (1983),witty,-1,Agree
111,Kill Bill: Vol. 2 (2004),martial arts,-1,Neither agree nor disagree
111,Trainspotting (1996),drugs,-1,Agree
111,"Matrix, The (1999)",insanity,3,Agree
114,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),war,2,Strongly agree
114,Batman Forever (1995),suspense,2,Agree
114,Seven Samurai (Shichinin no samurai) (1954),western,1,
114,"Usual Suspects, The (1995)",serial killer,1,Strongly agree
114,Dogma (1999),religion,5,Strongly agree
114,Maverick (1994),western,5,Strongly agree
114,Saving Private Ryan (1998),world war ii,5,Strongly agree
114,Fight Club (1999),nonlinear,4,Strongly agree
114,Dark City (1998),steampunk,4,Strongly agree
114,"Shawshank Redemption, The (1994)",tense,4,Agree
157,Apocalypse Now (1979),horror,4,Strongly agree
157,Batman (1989),film noir,5,Agree
157,Forrest Gump (1994),steampunk,4,Agree
157,Aladdin (1992),drama,5,Agree
157,Titanic (1997),romance,5,Disagree
157,American Beauty (1999),satire,-1,Neither agree nor disagree
157,"Godfather: Part II, The (1974)",mafia,5,Agree
157,Men in Black (a.k.a. MIB) (1997),funny,5,Agree
157,Pi (1998),art house,5,Agree
157,Blade Runner (1982),art house,5,
161,Mission: Impossible II (2000),predictable,1,Strongly disagree
161,My Cousin Vinny (1992),culture clash,2,Strongly agree
161,Twister (1996),stupid,-1,Neither agree nor disagree
161,Hoop Dreams (1994),documentary,4,Strongly disagree
161,Braveheart (1995),philosophical,2,Neither agree nor disagree
161,American History X (1998),holocaust,5,Strongly disagree
161,Star Wars: Episode V - The Empire Strikes Back (1980),plot twist,5,Strongly agree
161,Contact (1997),religion,1,Strongly agree
161,Beauty and the Beast (1991),suspense,-1,Neither agree nor disagree
161,Reservoir Dogs (1992),mafia,4,Neither agree nor disagree
209,Alien (1979),horror,4,Neither agree nor disagree
209,Schindler's List (1993),violence,5,Agree
209,Edward Scissorhands (1990),unique,5,Agree
209,Back to the Future Part III (1990),western,1,Strongly disagree
209,Forrest Gump (1994),india,2,Disagree
209,Billy Elliot (2000),self discovery,5,Agree
209,Austin Powers: The Spy Who Shagged Me (1999),satire,5,Agree
209,Dumb & Dumber (1994),stupid,5,Agree
209,"Fugitive, The (1993)",social commentary,4,Neither agree nor disagree
209,Terminator 2: Judgment Day (1991),robots,5,Agree
212,Chinatown (1974),film noir,3,Strongly agree
211,Twister (1996),stupid,2,Disagree
211,"Day After Tomorrow, The (2004)",environmental,5,Strongly agree
211,"Blair Witch Project, The (1999)",mockumentary,3,Agree
211,Toy Story (1995),witty,3,Agree
211,Charlie's Angels (2000),martial arts,2,Disagree
211,Willy Wonka & the Chocolate Factory (1971),surreal,3,Agree
211,Groundhog Day (1993),existentialism,5,Strongly agree
211,Forrest Gump (1994),hallucinatory,2,Disagree
211,National Treasure (2004),pirates,3,Agree
211,American Beauty (1999),plot twist,4,Agree
215,Independence Day (a.k.a. ID4) (1996),futuristic,1,
215,Seven (a.k.a. Se7en) (1995),psychological,5,Strongly agree
215,Blade Runner (1982),cyberpunk,5,
215,Back to the Future Part III (1990),western,4,Strongly agree
215,Austin Powers: International Man of Mystery (1997),time travel,5,
215,Fargo (1996),satire,4,Neither agree nor disagree
215,Stargate (1994),time travel,2,Agree
215,Star Wars: Episode VI - Return of the Jedi (1983),futuristic,5,Strongly agree
215,Dogma (1999),religion,5,Strongly agree
215,Total Recall (1990),cyberpunk,4,Agree
210,Forrest Gump (1994),sci-fi,1,Strongly disagree
210,American History X (1998),holocaust,2,Disagree
210,"Fugitive, The (1993)",thriller,3,Disagree
210,"American President, The (1995)",environmental,2,
210,Contact (1997),religion,4,Agree
210,Pulp Fiction (1994),psychological,4,Agree
210,Dumb & Dumber (1994),hilarious,5,Strongly agree
210,"Godfather, The (1972)",stylized,2,Disagree
210,"Day After Tomorrow, The (2004)",environmental,5,Strongly agree
210,Alien (1979),horror,4,Agree
214,Beauty and the Beast (1991),musical,4,Agree
214,"Usual Suspects, The (1995)",film noir,4,Agree
214,Beetlejuice (1988),horror,3,Neither agree nor disagree
214,Bend It Like Beckham (2002),india,2,Agree
214,Die Hard (1988),christmas,4,Agree
214,This Is Spinal Tap (1984),documentary,1,Agree
214,Reservoir Dogs (1992),mafia,3,Neither agree nor disagree
214,Jurassic Park (1993),serial killer,1,Agree
214,"Shawshank Redemption, The (1994)",hilarious,1,Strongly agree
214,"Princess Bride, The (1987)",witty,5,Strongly agree
216,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,
216,"Lord of the Rings: The Two Towers, The (2002)",historical,5,Agree
216,Pretty Woman (1990),romance,5,Agree
216,Six Days Seven Nights (1998),pirates,2,Disagree
216,"Godfather: Part II, The (1974)",mafia,5,Strongly agree
216,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",steampunk,3,Agree
216,Slumdog Millionaire (2008),india,5,Strongly agree
216,"Matrix, The (1999)",adventure,4,Agree
216,Apollo 13 (1995),violence,5,Agree
216,Lethal Weapon 3 (1992),martial arts,5,Strongly agree
217,Die Hard (1988),christmas,1,Strongly agree
217,Forrest Gump (1994),animation,2,Strongly agree
217,Willy Wonka & the Chocolate Factory (1971),surreal,3,Agree
217,Toy Story (1995),philosophical,2,Strongly agree
217,Back to the Future (1985),comedy,4,Agree
217,Titanic (1997),romance,5,
217,Monty Python and the Holy Grail (1975),social commentary,3,Agree
217,Pretty Woman (1990),romance,4,Agree
217,American History X (1998),holocaust,4,Agree
217,Lethal Weapon 3 (1992),martial arts,5,Strongly agree
213,Men in Black (a.k.a. MIB) (1997),funny,4,
213,"Mask, The (1994)",superhero,-1,Agree
213,Twister (1996),stupid,1,Strongly disagree
213,You've Got Mail (1998),predictable,5,Neither agree nor disagree
213,Back to the Future (1985),comedy,4,Agree
213,Mrs. Doubtfire (1993),funny,5,Strongly agree
213,Beauty and the Beast (1991),musical,5,Strongly agree
213,Apollo 13 (1995),historical,5,Neither agree nor disagree
213,Lethal Weapon 3 (1992),martial arts,5,Strongly agree
213,"Rock, The (1996)",prison,5,Strongly agree
218,True Lies (1994),predictable,5,Strongly agree
218,Independence Day (a.k.a. ID4) (1996),futuristic,5,Strongly agree
218,Pretty Woman (1990),original,5,Strongly agree
218,Seven (a.k.a. Se7en) (1995),disturbing,5,Strongly agree
218,Forrest Gump (1994),holocaust,1,Strongly agree
218,"Mask, The (1994)",superhero,5,Strongly agree
218,"Fugitive, The (1993)",stylized,3,Strongly agree
218,Titanic (1997),romance,5,Strongly agree
218,Toy Story (1995),overrated,5,Strongly agree
218,While You Were Sleeping (1995),christmas,5,Strongly agree
219,Terminator 2: Judgment Day (1991),futuristic,4,Agree
219,Star Wars: Episode IV - A New Hope (1977),plot twist,3,Neither agree nor disagree
219,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",steampunk,2,Disagree
219,Kill Bill: Vol. 2 (2004),martial arts,5,Strongly agree
219,Ace Ventura: When Nature Calls (1995),stupid,5,Agree
219,Stargate (1994),time travel,5,Strongly agree
219,"Day After Tomorrow, The (2004)",environmental,4,Agree
219,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Strongly agree
219,Titanic (1997),romance,4,Agree
219,Aliens (1986),horror,4,Agree
222,Pi (1998),art house,4,Agree
222,Star Wars: Episode IV - A New Hope (1977),thriller,5,Agree
222,Fight Club (1999),social commentary,4,Agree
222,Beauty and the Beast (1991),suspense,2,Neither agree nor disagree
222,Star Wars: Episode V - The Empire Strikes Back (1980),fantasy,5,Agree
222,Back to the Future (1985),comedy,4,Agree
222,Titanic (1997),romance,5,Neither agree nor disagree
222,"Mask, The (1994)",hilarious,3,Agree
222,Toy Story (1995),space,3,Agree
222,Back to the Future Part III (1990),western,3,Agree
227,"Matrix Reloaded, The (2003)",superhero,5,Agree
227,Batman (1989),adventure,5,Agree
227,Titanic (1997),romance,5,Agree
227,Die Hard (1988),christmas,4,Neither agree nor disagree
227,Terminator 2: Judgment Day (1991),tense,4,Neither agree nor disagree
227,"Lord of the Rings: The Two Towers, The (2002)",historical,5,Agree
227,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Agree
227,Toy Story (1995),witty,4,Agree
227,"Lion King, The (1994)",animation,5,Agree
227,Men in Black (a.k.a. MIB) (1997),comic book,4,Neither agree nor disagree
228,Get Shorty (1995),mafia,4,Agree
228,"South Park: Bigger, Longer and Uncut (1999)",animation,3,Agree
228,"American President, The (1995)",environmental,4,Neither agree nor disagree
228,Forrest Gump (1994),justice,2,Neither agree nor disagree
228,Pi (1998),art house,3,Agree
228,Titanic (1997),romance,5,Strongly agree
228,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Agree
228,Star Wars: Episode V - The Empire Strikes Back (1980),plot twist,5,Agree
228,Jurassic Park (1993),insanity,4,Neither agree nor disagree
228,Dark City (1998),steampunk,4,Neither agree nor disagree
231,"Lion King, The (1994)",animation,5,Agree
231,Twister (1996),stupid,3,Neither agree nor disagree
231,Toy Story (1995),witty,-1,Neither agree nor disagree
231,Mission: Impossible II (2000),predictable,4,Agree
231,Batman Forever (1995),suspense,4,Agree
231,Titanic (1997),romance,5,Strongly agree
231,Pi (1998),art house,4,Agree
231,"Godfather: Part II, The (1974)",mafia,5,Strongly agree
231,Star Wars: Episode IV - A New Hope (1977),adventure,5,Agree
231,Wild Wild West (1999),western,4,Agree
232,"Lion King, The (1994)",animation,5,
232,Toy Story (1995),philosophical,1,Strongly agree
232,"Truman Show, The (1998)",sci-fi,3,Neither agree nor disagree
232,"Clockwork Orange, A (1971)",satire,1,Agree
232,Beauty and the Beast (1991),musical,5,
232,Pulp Fiction (1994),insanity,3,Agree
232,Jurassic Park (1993),suspense,4,Agree
232,Edward Scissorhands (1990),unique,5,Agree
232,"Wizard of Oz, The (1939)",musical,5,Strongly agree
232,Aladdin (1992),animation,5,Strongly agree
235,Apollo 13 (1995),end of the world,1,Strongly agree
235,"Fifth Element, The (1997)",cyberpunk,5,Strongly agree
235,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,2,Strongly agree
235,L.A. Confidential (1997),film noir,2,Agree
235,Taxi Driver (1976),drugs,4,Agree
235,Apocalypse Now (1979),horror,2,Agree
235,Charlie's Angels (2000),martial arts,4,Strongly agree
235,Die Hard (1988),christmas,2,Agree
235,Braveheart (1995),philosophical,4,Agree
235,Titanic (1997),romance,5,Strongly agree
236,Jurassic Park (1993),mystery,4,Neither agree nor disagree
236,Mrs. Doubtfire (1993),funny,5,Neither agree nor disagree
236,"Lord of the Rings: The Two Towers, The (2002)",historical,2,Neither agree nor disagree
236,"Godfather, The (1972)",stylized,5,Agree
236,Titanic (1997),romance,5,Disagree
236,Batman (1989),film noir,3,Neither agree nor disagree
236,Aladdin (1992),thriller,5,Neither agree nor disagree
236,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Neither agree nor disagree
236,"Godfather: Part II, The (1974)",mafia,3,Disagree
236,Back to the Future (1985),comedy,5,Neither agree nor disagree
245,Pi (1998),art house,4,Strongly agree
245,Austin Powers: International Man of Mystery (1997),time travel,5,Strongly agree
245,"Godfather: Part II, The (1974)",mafia,5,Strongly agree
245,Kill Bill: Vol. 2 (2004),martial arts,5,
245,Kill Bill: Vol. 1 (2003),martial arts,5,Strongly agree
245,Mission: Impossible II (2000),predictable,5,Strongly agree
245,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Strongly agree
245,Star Wars: Episode IV - A New Hope (1977),action,5,Strongly agree
245,Dark City (1998),steampunk,5,Strongly agree
245,Princess Mononoke (Mononoke-hime) (1997),environmental,5,Strongly agree
246,Beetlejuice (1988),horror,1,Agree
246,Eternal Sunshine of the Spotless Mind (2004),sci-fi,1,Agree
246,"Lion King, The (1994)",animation,5,Strongly agree
246,Back to the Future Part III (1990),western,1,Strongly agree
246,Pulp Fiction (1994),surreal,3,
246,Back to the Future (1985),time travel,5,Strongly agree
246,American Beauty (1999),drugs,1,Agree
246,Willy Wonka & the Chocolate Factory (1971),surreal,3,Agree
246,Aladdin (1992),thriller,1,Strongly agree
246,"Wizard of Oz, The (1939)",musical,4,Agree
248,Austin Powers: The Spy Who Shagged Me (1999),satire,3,Neither agree nor disagree
248,Independence Day (a.k.a. ID4) (1996),atmospheric,2,Disagree
248,Pretty Woman (1990),original,4,Agree
248,Star Wars: Episode IV - A New Hope (1977),thriller,1,Strongly disagree
248,Back to the Future Part III (1990),western,2,Disagree
248,Stargate (1994),time travel,3,
248,Die Hard (1988),christmas,5,Strongly agree
248,Austin Powers: International Man of Mystery (1997),time travel,1,Strongly disagree
248,Mission: Impossible II (2000),predictable,2,Disagree
248,Willy Wonka & the Chocolate Factory (1971),surreal,4,Agree
247,Ace Ventura: Pet Detective (1994),comedy,5,Strongly agree
247,"Wizard of Oz, The (1939)",musical,4,Agree
247,Toy Story (1995),fantasy,1,Strongly agree
247,Aladdin (1992),animation,5,Strongly agree
247,Monty Python and the Holy Grail (1975),religion,1,Strongly agree
247,Pirates of the Caribbean: The Curse of the Black Pearl (2003),war,3,Agree
247,Slumdog Millionaire (2008),india,5,Agree
247,Austin Powers: International Man of Mystery (1997),time travel,4,Agree
247,"Lord of the Rings: The Two Towers, The (2002)",historical,1,Strongly agree
247,Pretty Woman (1990),original,1,Agree
252,Back to the Future Part III (1990),western,5,Strongly agree
252,Jurassic Park (1993),nonlinear,5,Strongly agree
252,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),historical,5,Strongly agree
252,Dead Man Walking (1995),religion,5,Strongly agree
252,Mission: Impossible II (2000),predictable,5,Strongly agree
252,Fight Club (1999),philosophical,5,Strongly agree
252,"Godfather, The (1972)",stylized,5,Strongly agree
252,Billy Elliot (2000),self discovery,5,Strongly agree
252,Pirates of the Caribbean: Dead Man's Chest (2006),pirates,5,Strongly agree
252,Memento (2000),mystery,5,Strongly agree
249,National Treasure (2004),pirates,3,Strongly disagree
249,Titanic (1997),romance,5,Strongly agree
249,American Beauty (1999),plot twist,4,Agree
249,"Lion King, The (1994)",animation,5,Strongly agree
